# GENERATED by scripts/extract-ulad-enumerations.cjs — do not hand-edit.
# Source: docs/fannie-mae/schemas/ulad-mapping-document.xlsx, sheet "ULAD Enumerations".
# The authority for which values each MISMO v3.4 data point may hold.
# CLAUDE.md: never invent MISMO field names, enumerations, edit codes or SFCs.
#
dataPoint	enumeration	urlaFieldId	definition
AddressType	Mailing	1a.17	The address where an individual or legal entity receives letters or packages.
AddressUnitDesignatorType	Apartment	1a.13.2	
AddressUnitDesignatorType	Basement	1a.13.2	
AddressUnitDesignatorType	Building	1a.13.2	
AddressUnitDesignatorType	Condo	1a.13.2	
AddressUnitDesignatorType	Department	1a.13.2	
AddressUnitDesignatorType	Floor	1a.13.2	
AddressUnitDesignatorType	Front	1a.13.2	
AddressUnitDesignatorType	Hangar	1a.13.2	A covered, usually enclosed area for housing or repairing aircraft.
AddressUnitDesignatorType	Key	1a.13.2	
AddressUnitDesignatorType	Lobby	1a.13.2	
AddressUnitDesignatorType	Lot	1a.13.2	
AddressUnitDesignatorType	Lower	1a.13.2	
AddressUnitDesignatorType	Office	1a.13.2	
AddressUnitDesignatorType	Penthouse	1a.13.2	
AddressUnitDesignatorType	Pier	1a.13.2	
AddressUnitDesignatorType	Rear	1a.13.2	
AddressUnitDesignatorType	Room	1a.13.2	
AddressUnitDesignatorType	Side	1a.13.2	
AddressUnitDesignatorType	Space	1a.13.2	
AddressUnitDesignatorType	Stop	1a.13.2	
AddressUnitDesignatorType	Suite	1a.13.2	
AddressUnitDesignatorType	Trailer	1a.13.2	
AddressUnitDesignatorType	Unit	1a.13.2	
AddressUnitDesignatorType	Upper	1a.13.2	
AdjustmentRuleType	First	L3.7	
AmortizationType	AdjustableRate	L3.5	A mortgage that allows the lender to adjust the interest rate in accordance with a specified index periodically.
AmortizationType	Fixed	L3.5	A mortgage in which the interest rate and payments remain the same for the life of the loan.
AmortizationType	Other	L3.5	Used to describe the amortization type if it is other than those specified in the enumerated list of Loan Amortization Types.
AssetType	Bond	2a.1	An interest-bearing certificate of debt with maturity date. An obligation of issuing entity. Typical valuation is face value (e.g., $1,000 denomination) & market (e.g., value of 4% bond when yields are 6%).
AssetType	BridgeLoanNotDeposited	2a.1	Proceeds of a loan (secured by borrowers real property) to provide homebuyer with funds for down payment and closing costs on a new home before selling the collateral property which have not yet been deposited to borrowers accounts or inclu
AssetType	CertificateOfDepositTimeDeposit	2a.1	Certificates issued by financial institutions with a stated term or interest rate, and with a set maturity date. The bank pays the holder in due course at maturity. Early withdrawal subject to penalty. Considered liquid.
AssetType	CheckingAccount	2a.1	Transaction account with a financial institution. Accounts purpose is to effect transfer of owners funds to others by various methods (e.g., check, EFT, ACH, draft). Technical name is demand deposit account (DDA).
AssetType	GiftOfCash	4d.1	Money given as gift (no repayment expected) to Borrowers to assist in home purchase, usually from relatives or a close friend, and where gift funds have not yet been deposited or included with other assets.
AssetType	GiftOfPropertyEquity	4d.1	Without consideration or promise of repayment, lender allows the seller to transfer equity in the property to the buyer as a credit in the transaction.
AssetType	Grant	4d.1	Money scheduled to be given as grant (no repayment expected) to borrowers to assist in home purchase, usually from local organization or charity, where grant funds have not yet been deposited to borrowers accounts or included with other ass
AssetType	IndividualDevelopmentAccount	2a.1	A matching funds savings account that helps people save for the purchase of real estate.
AssetType	LifeInsurance	2a.1	A life insurance policy with a value or investment component. Details of amounts for each policy or Accumulated investment cash value of life insurance policy, net of any loans against that amount. Detail of amounts for each policy.
AssetType	MoneyMarketFund	2a.1	Mutual fund that allows individuals to participate in managed investments in short-term debt securities, such as certificates of deposit and Treasury bills.
AssetType	MutualFund	2a.1	Financial entity that invests its shareholders funds in stocks and bonds of other entities with the objective of obtaining a return on its shareholders investment.
AssetType	Other	2b.1	
AssetType	PendingNetSaleProceedsFromRealEstateAssets	2b.1	Estimated net cash proceeds (sales price - obligations) from anticipated sale of borrowers real estate assets.
AssetType	ProceedsFromSaleOfNonRealEstateAsset	2b.1	Amount received by borrower from sale of personal property.
AssetType	ProceedsFromSecuredLoan	2b.1	Proceeds from a loan secured by borrowers assets.
AssetType	ProceedsFromUnsecuredLoan	2b.1	Proceeds from a loan not backed by any collateral.
AssetType	RetirementFund	2a.1	401Ks, IRAs, etc. controlled by borrower (vested) valued at market.
AssetType	SavingsAccount	2a.1	Interest-paying account with a financial institution whose main purpose is to earn interest on owners funds held therein. This is NOT a demand deposit account.
AssetType	Stock	2a.1	Financial instrument evidencing an ownership interest in entity that issued the stock. Typical valuation method is Market.
AssetType	StockOptions	2a.1	Option given by a company to an employee to buy stock in the company at a discount or at a stated fixed price.
AssetType	TrustAccount	2a.1	Fiduciary relationship where legal title to a property is transferred to a trustee with the intention the property be administered by the trustee for benefit of the beneficiary, who holds equitable title to such property.
BankruptcyChapterType	ChapterEleven	5b.8.1	Bankruptcy type where business assets are kept and creditors are paid according to an approved plan.
BankruptcyChapterType	ChapterSeven	5b.8.1	Bankruptcy where assets are liquidated and the proceeds are distributed to the creditors.
BankruptcyChapterType	ChapterThirteen	5b.8.1	Bankruptcy where an individual with regular income keeps assets and pays creditors according to an approved plan.
BankruptcyChapterType	ChapterTwelve	5b.8.1	Bankruptcy where a family with regular income keeps their assets and pays creditors according to an approved plan. Usually applies to family farms.
BorrowerResidencyBasisType	LivingRentFree	1a.14.1	Borrower lives/lived at indicated address without paying rent (e.g., parents home).
BorrowerResidencyBasisType	Own	1a.14.1	Borrower lives/lived at indicated address as an owner.
BorrowerResidencyBasisType	Rent	1a.14.1	Borrower lives/lived in rented dwelling at indicated address.
BorrowerResidencyType	Current	1a.13	The borrowers current residence
BorrowerResidencyType	Prior	1a.15	The borrowers prior residence
CitizenshipResidencyType	NonPermanentResidentAlien	1a.5	As defined by the United States Citizenship and Immigration Services, a non-US citizen residing in the US lawfully, who does not have a green card and has not met the substantial presence test required for Permanent Residence status.
CitizenshipResidencyType	PermanentResidentAlien	1a.5	As defined by the United States Citizenship and Immigration Services, a non-US Citizen residing in the US under legally recognized and lawfully recorded permanent residence as an immigrant. Also known as "Lawful Permanent Resident," "Reside
CitizenshipResidencyType	USCitizen	1a.5	As defined by the United States Citizenship and Immigration Services, born in the US or its territories; or having a parent who is a US citizen, or naturalized as a US citizen.
ConstructionLoanType	ConstructionToPermanent	L1.3.3	The subject loan will be used for construction financing and then be converted to permanent financing.
ConstructionMethodType	Manufactured	4a.8	A factory built dwelling built in compliance with the Federal Manufactured Home Construction and Safety Standards in effect at the time the home was manufactured as evidenced by the HUD label. (HUD Code Home)
ConstructionToPermanentClosingType	OneClosing	L1.3.3.1	Includes both construction and permanent portions of the financing in one transaction.
ConstructionToPermanentClosingType	TwoClosing	L1.3.3.1	Construction financing and permanent financing are two separate transactions.
ContactPointRoleType	Home	1a.9	The applicable Contact Point is for the contact's residence.
ContactPointRoleType	Mobile	1a.10	The applicable Contact Point is for the contact's mobile phone.
ContactPointRoleType	Work	1a.11	The applicable Contact Point is for the contact's place of employment.
DomesticRelationshipType	CivilUnion	UA.2	A relationship as defined by the state or other jurisdiction in which the civil union was formed.
DomesticRelationshipType	DomesticPartnership	UA.2	A relationship as defined by the state or other jurisdiction in which the domestic partnership was formed.
DomesticRelationshipType	Other	UA.2	
DomesticRelationshipType	RegisteredReciprocalBeneficiaryRelationship	UA.2	A relationship as defined by the state or other jurisdiction in which the reciprocal beneficiary was registered.
EmploymentStatusType	Current	1b.1	Specifies that the employment is held by the borrower when the information was provided.
EmploymentStatusType	Previous	1d.1	Specifies that the job was held by the borrower in the past.
ExpenseType	Alimony	2d.1	Alimony (also called maintenance or spousal support) is financial support to a spouse from the other spouse after marital separation or from the ex-spouse upon divorce.
ExpenseType	ChildSupport	2d.1	Child support (or child maintenance) is an ongoing, periodic payment made by a parent for the financial benefit of a child following the end of a marriage or other relationship.
ExpenseType	JobRelatedExpenses	2d.1	Ongoing obligations incurred by the borrower which are prerequisite to retaining employment (e.g., professional associations, special uniforms or tools, etc.)
ExpenseType	Other	2d.1	
ExpenseType	SeparateMaintenanceExpense	2d.1	Periodic amount paid under terms of separation agreement.
FundsSourceType	CommunityNonProfit	4d.3	A nonprofit organization with no religious affiliation
FundsSourceType	Employer	4d.3	Party who provides income to the Borrower in exchange for work.
FundsSourceType	FederalAgency	4d.3	A department of the national government responsible for the oversight and administration of a specific function.
FundsSourceType	Lender	4d.3	Party funding the mortgage loan.
FundsSourceType	LocalAgency	4d.3	An administrative authority over areas that are smaller than a state, for example, counties, cities, or townships.
FundsSourceType	Other	4d.3	
FundsSourceType	Relative	4d.3	An individual related to the borrower by blood, marriage, adoption, or legal guardianship.
FundsSourceType	ReligiousNonProfit	4d.3	A nonprofit organization affiliated with a religion.
FundsSourceType	StateAgency	4d.3	An administrative authority one of the fifty states making up the United States.
FundsSourceType	UnmarriedPartner	4d.3	Fiancé, fiancée, registered domestic partnership, civil union partner, or registered reciprocal beneficiary.
GovernmentRefinanceType	FullDocumentation	L1.8	Refinance requiring full documentation as defined by USDA Rural Development.
GovernmentRefinanceType	InterestRateReductionRefinanceLoan	L1.8	Refinance to reduce the loan's interest rate as defined by VA.
GovernmentRefinanceType	Other	L1.8	
GovernmentRefinanceType	StreamlineWithoutAppraisal	L1.8	Refinance allowing streamlined documentation and no appraisal as defined by USDA Rural Development.
HMDAEthnicityOriginType	Cuban	8.1.1	Ethnicity origin as defined by the Home Mortgage Disclosure Act.
HMDAEthnicityOriginType	Mexican	8.1.1	Ethnicity origin as defined by the Home Mortgage Disclosure Act.
HMDAEthnicityOriginType	Other	8.1.1	Ethnicity origin as defined by the Home Mortgage Disclosure Act.
HMDAEthnicityOriginType	PuertoRican	8.1.1	Ethnicity origin as defined by the Home Mortgage Disclosure Act.
HMDARaceType	AmericanIndianOrAlaskaNative	8.3000000000000007	Category as defined by the Home Mortgage Disclosure Act.
HMDARaceType	Asian	8.3000000000000007	Category as defined by the Home Mortgage Disclosure Act.
HMDARaceType	BlackOrAfricanAmerican	8.3000000000000007	Category as defined by the Home Mortgage Disclosure Act.
HMDARaceType	NativeHawaiianOrOtherPacificIslander	8.3000000000000007	Category as defined by the Home Mortgage Disclosure Act.
HMDARaceType	White	8.3000000000000007	Category as defined by the Home Mortgage Disclosure Act.
HomeownerPastThreeYearsType	No	5a.1.1	
HomeownerPastThreeYearsType	Yes	5a.1.1	
HousingExpenseTimingType	Proposed		Housing expenses that are expected to be incurred after closing for the subject property.
HousingExpenseType	FirstMortgagePrincipalAndInterest	L3.14.1 | L3.14.2 | L3.14.3 | L3.14.4 | L3.14.5 | L3.14.6 | L3.14.7 | L3.14.8	Amount of periodic principal and interest payment on a first mortgage on real estate. Principal refers to the monthly payment that reduces the remaining balance of the mortgage. Interest is the fee charged for the use of money.
HousingExpenseType	HomeownersAssociationDuesAndCondominiumFees	L3.14.1 | L3.14.2 | L3.14.3 | L3.14.4 | L3.14.5 | L3.14.6 | L3.14.7 | L3.14.8	Cost of maintaining areas owned in common by all homeowners paid to a homeowners association for the planned unit development, project, or neighborhood within which the subject property is located.
HousingExpenseType	HomeownersInsurance	L3.14.1 | L3.14.2 | L3.14.3 | L3.14.4 | L3.14.5 | L3.14.6 | L3.14.7 | L3.14.8	Periodic amount paid for coverage against losses or damage to the insured subject property from hazards such as fire, theft or other named perils. May also cover personal property and/or include riders providing supplemental coverage, e.g. 
HousingExpenseType	MIPremium	L3.14.1 | L3.14.2 | L3.14.3 | L3.14.4 | L3.14.5 | L3.14.6 | L3.14.7 | L3.14.8	Cost for insurance or guaranty to protect lender against the non-payment of, or default on, an individual mortgage.
HousingExpenseType	Other	L3.14.1 | L3.14.2 | L3.14.3 | L3.14.4 | L3.14.5 | L3.14.6 | L3.14.7 | L3.14.8	Other expenses related to housing which are not included in the listed values.
HousingExpenseType	OtherMortgageLoanPrincipalAndInterest	L3.14.1 | L3.14.2 | L3.14.3 | L3.14.4 | L3.14.5 | L3.14.6 | L3.14.7 | L3.14.8	Amount of periodic principal and interest payment on a subordinate mortgage on real estate. Could be present or proposed housing expense. Principal refers to the monthly payment that reduces the remaining balance of the mortgage. Interest i
HousingExpenseType	RealEstateTax	L3.14.1 | L3.14.2 | L3.14.3 | L3.14.4 | L3.14.5 | L3.14.6 | L3.14.7 | L3.14.8	Local government taxes levied on the ownership of real property. Also known as Real Estate Property Tax.
HousingExpenseType	SupplementalPropertyInsurance	L3.14.1 | L3.14.2 | L3.14.3 | L3.14.4 | L3.14.5 | L3.14.6 | L3.14.7 | L3.14.8	All other insurance policies not included within the Homeowners Insurance.
IncomeType	Alimony	1e.1	Alimony (also called maintenance or spousal support) is financial support to a spouse from the other spouse after marital separation or from the ex-spouse upon divorce.
IncomeType	AutomobileAllowance	1e.1	Compensation for automobile-related expenses incurred.
IncomeType	Base	1b.10.1 | 1b.10.2 | 1b.10.3 | 1b.10.4 | 1b.10.6	For salaried positions, the monthly amount of salary (annual salary/12). For hourly positions, the income that would arise from 52 weeks of work at the usual and customary number of non-overtime hours per week /12.
IncomeType	BoarderIncome	1e.1	Income received by the borrower from an occupant of a portion of the subject property.
IncomeType	Bonus	1b.10.1 | 1b.10.2 | 1b.10.3 | 1b.10.4 | 1b.10.6	Income derived from optional compensation paid out by employer, linked to employers overall performance and/or individual performance.
IncomeType	CapitalGains	1e.1	Amount from the sale of a capital asset at a higher value than the purchase price.
IncomeType	ChildSupport	1e.1	Child support (or child maintenance) is an ongoing, periodic payment made by a parent for the financial benefit of a child following the end of a marriage or other relationship.
IncomeType	Commissions	1b.10.1 | 1b.10.2 | 1b.10.3 | 1b.10.4 | 1b.10.6	Borrower income that is based upon a percentage of the goods or services the borrower sells (e.g., gross Realtor commission = 6%).
IncomeType	DefinedContributionPlan	1e.1	A plan which provides each participant an individual account for benefits based solely on the amount contributed to the participant's account as well as any income, expenses, gains and losses. Typical examples are Individual Retirement Acco
IncomeType	Disability	1e.1	Income from disability coverage for a condition that prevents a person from working.
IncomeType	DividendsInterest	1e.1	Amount from distributions from a company’s earnings to a shareholder in the form of cash payments, stock, and income earned from interest-bearing financial accounts by issuer of account.
IncomeType	FosterCare	1e.1	An allowance provided by a social welfare jurisdication for the care of foster children.
IncomeType	HousingAllowance	1e.1	Compensation for basic living expenses for certain employment situations.
IncomeType	MortgageCreditCertificate	1e.1	A tax credit granted by government jurisdictions to help first-time homebuyers offset a portion of the interest on a new mortgage.
IncomeType	MortgageDifferential	1e.1	Income used when an employer subsidizes and employees mortgage payments by paying all or part of the interest differential between the employees present and proposed mortgage payments.
IncomeType	NotesReceivableInstallment	1e.1	Income received from the payment of a debt owed to the borrower.
IncomeType	Other	1b.10.1 | 1b.10.2 | 1b.10.3 | 1b.10.4 | 1b.10.6	
IncomeType	Overtime	1b.10.1 | 1b.10.2 | 1b.10.3 | 1b.10.4 | 1b.10.6	Additional compensation paid for work beyond the usual and customary work period.
IncomeType	Pension	1e.1	Periodic amount paid by employer to persons who have retired from employer after attaining necessary term of service and other attributes.
IncomeType	PublicAssistance	1e.1	Amount paid to borrower by federal, state or local public assistance program
IncomeType	Royalties	1e.1	A payment to an owner for the use of property, patents, copyrighted works, franchises or natural resources.
IncomeType	SeparateMaintenance	1e.1	Money paid by one previously married person to the other for support if they are no longer living as Husband and Wife. Also known as "Separate Support".
IncomeType	SocialSecurity	1e.1	In the US, amount paid to recipients of OASI (Old Age and Survivors Insurance).
IncomeType	Trust	1e.1	Income the borrower receives as the beneficiary of a trust.
IncomeType	Unemployment	1e.1	Amount paid or payable to borrower from state or Federal unemployment insurance program.
IncomeType	VABenefitsNonEducational	1e.1	Dollar amount of VA Benefits excluding education benefits available to a veteran borrower.
IntentToOccupyType	No	5a.1	
IntentToOccupyType	Yes	5a.1	
LiabilityType	HELOC	3a.11	A mortgage loan, which is usually in a subordinate position, that allows the borrower to obtain multiple advances of the loan proceeds at his or her own discretion, up to a specified amount.
LiabilityType	Installment	2c.1	Borrowed money repaid in several successive payments, usually at regular intervals, for a specific amount and a specified term.
LiabilityType	LeasePayment	2c.1	Regular payment amount specified by long-term contract for the use of an asset.
LiabilityType	MortgageLoan	3a.11	A closed ended lien secured against a property that may be in a first or subordinate lien position.
LiabilityType	Open30DayChargeAccount	2c.1	An account where the borrower can charge debt as needed. The full balance is normally repaid on a monthly basis.
LiabilityType	Other	2c.1	Used in conjunction with a textual description of other types of liabilities.
LiabilityType	Revolving	2c.1	Open lines of credit, which are subject to variable payments and interest in accordance with the balance.
LicenseAuthorityLevelType	Private	9.3000000000000007	
LicenseAuthorityLevelType	PublicState	9.4	
LienPriorityType	FirstLien	4b.2	A mortgage that gives the mortgagee a security right over all other mortgages of the mortgaged property.
LienPriorityType	FourthLien	4b.2	A mortgage that gives the mortgagee a security right after first, second, and third liens have been satisfied.
LienPriorityType	SecondLien	4b.2	A mortgage that gives the mortgagee a security right after the first lien has been satisfied.
LienPriorityType	ThirdLien	4b.2	A mortgage that gives the mortgagee a security right after the first and second liens have been satisfied.
LoanAmortizationPeriodType	Month	L3.3	
LoanIdentifierType	AgencyCase	B.02	An identifier assigned by a government agency (for example FHA Case Number, VA Case Number). The identifier is used by the agency to identify a loan.
LoanIdentifierType	LenderLoan	B.01	The identifier assigned by the originating Lender to be referenced as the Loan ID/Number on all settlement documents, notes, riders, etc.
LoanIdentifierType	UniversalLoan	B.03	A unique identifier associated with the loan throughout the life of the loan transaction starting at submission of the loan application (aka Universal Loan Identifier).
LoanMaturityPeriodType	Month	L3.8.1	
LoanPurposeType	Other	4a.2	
LoanPurposeType	Purchase	4a.2	A loan made in association with the original purchase of a piece of property.
LoanPurposeType	Refinance	4a.2	The repayment of a debt from proceeds of a new loan using the same property as security or a mortgage secured by a property previously owned free and clear by the Borrower.
LoanRoleType	RelatedLoan	0	A loan linked to the subject loan by virtue of being collateralized by the same property. Examples include the loan being refinanced, or a HELOC or other subordinate lien collateralized by the same property as the subject loan.
LoanRoleType	SubjectLoan	0	The loan that is the object of the transaction, upon which the receiving business partner will take some action.
MaritalStatusType	Married	1a.7	State of being united to a person in a consensual or contractual relationship recognized by law.
MaritalStatusType	Other	1a.7	
MaritalStatusType	Separated	1a.7	State of formal or informal separation of a married couple.
MaritalStatusType	Unmarried	1a.7	Single, divorced, widowed, or domestic relationship.
MilitaryStatusType	ActiveDuty	7a.2	Individuals who self-reported ever having served in the US Armed Forces, those who also self-reported they were currently still on active duty.
MilitaryStatusType	ReserveNationalGuardNeverActivated	7a.2	An individual whose only period of service was as a non-activated member of the Reserves or National Guard.
MilitaryStatusType	Veteran	7a.2	Currently retired, discharged, or separated from service.
MortgageType	Conventional	3a.14	Mortgage financing which is not insured or guaranteed by a government agency.
MortgageType	FHA	3a.14	A loan originated in accordance with the guidelines of HUD's Federal Housing Administration, a federal agency that provides mortgage insurance on single-family, multifamily, manufactured homes and hospital loans made by FHA-approved lenders
MortgageType	Other	3a.14	
MortgageType	USDARuralDevelopment	3a.14	A loan originated in accordance with the guidelines of the USDA Rural Development Agency's Housing and Community Facilities Program, which provides funding for single family homes in rural communities.
MortgageType	VA	3a.14	A loan originated in accordance with the guidelines of the Department of Veterans Affairs’ Loan Guaranty Home Loan Program, which guarantees loans made by private lenders, such as banks, savings & loans, or mortgage companies to eligible ve
NativeAmericanLandsType	FeeSimple	L2.6	Land held by an individual within the boundaries of an Indian reservation. Use is subject to the tribal sovereignty.
NativeAmericanLandsType	IndividualTrustLand	L2.6	Land that either can be vested in the individual tribal member but in restricted status in favor of the United States, or title is held by the United States in trust for the named individual tribal member.
NativeAmericanLandsType	Other	L2.6	
NativeAmericanLandsTypeOtherDescription	AlaskaNativeCorporationLand	L2.6	This is land that is owned by an Indian tribe and was conveyed by the United States to a Native Corporation pursuant to the Alaska Native Claims Settlement Act (43 U.S.C. 1601 et seq.) or that was conveyed by the United States to a Native C
NativeAmericanLandsTypeOtherDescription	TribalTrustLandOffReservation	L2.6	Tribal trust land off of a reservation is most commonly land purchased by a Tribe outside of its reservation boundaries that is then converted to trust land through a regulated process with the Bureau of Indian Affairs.
NativeAmericanLandsTypeOtherDescription	TribalTrustLandOnAReservation	L2.6	Tribal trust lands are held in trust by the United States government for the use of a tribe. The United States holds the legal title, and the tribe holds the beneficial interest. Tribal trust land is held communally by the tribe and is mana
OwnedPropertyDispositionStatusType	PendingSale	3a.4	Property is pending sale at the time of the current transaction.
OwnedPropertyDispositionStatusType	Retain	3a.4	Property is to be held by borrower after closing of the current transaction.
OwnedPropertyDispositionStatusType	Sold	3a.4	A property that was owned by the borrower and was sold prior to closing of the current transaction.
OwnershipInterestType	GreaterThanOrEqualTo25Percent	1b.9.1	Owns twenty-five percent or more of the value of the business.
OwnershipInterestType	LessThan25Percent	1b.9.1	Owns less than twenty-five percent of the value of the business.
PartyRoleType	Borrower	1a.1	An individual or entity that has applied for, met specific requirements of, or received a monetary loan from a lender.
PartyRoleType	LoanOriginationCompany	9.1	The entity that originated the loan.
PartyRoleType	LoanOriginator	9.5	The individual at the entity that originated the loan.
PartyRoleType	NotePayTo	4b.1	The individual or legal entity whose name appears on a note to whom the repayment of the obligation is due.
PartyRoleType	PropertyOwner	L2.1	Individual or entity with legal title to a property.
PartyRoleType	Trust	L2.5	A legal entity that holds funds, assets or real property for the benefit of another.
PriorPropertyTitleType	JointWithOtherThanSpouse	5a.1.3	Use this answer for any property owned with any other person including spouse.
PriorPropertyTitleType	JointWithSpouse	5a.1.3	Use this answer for any property owned with a spouse.
PriorPropertyTitleType	Sole	5a.1.3	Individual
PriorPropertyUsageType	Investment	5a.1.2	A home owned for the purpose of generating income by renting the property.
